"";"siteID";"slope"
"1";"Site-01";7,41648620008301
"2";"Site-02";7,37286436597258
"3";"Site-03";7,37286436597258
"4";"Site-04";7,37286436597258
"5";"Site-05";9,84451784367779
"6";"Site-06";9,84451784367779
"7";"Site-07";9,07125140781523
"8";"Site-08";9,07125140781523
"9";"Site-09";9,07125140781523
"10";"Site-10";7,105637382565
"11";"Site-11";7,105637382565
"12";"Site-12";6,21105924162952
"13";"Site-13";6,21105924162952
"14";"Site-14";5,28322971217101
"15";"Site-15";5,28322971217101
"16";"Site-16";5,28322971217101
"17";"Site-17";5,28322971217101
"18";"Site-18";5,28322971217101
"19";"Site-19";4,16029092303817
"20";"Site-20";5,17354264641466
"21";"Site-21";5,17354264641466
"22";"Site-22";5,17354264641466
"23";"Site-23";5,17354264641466
"24";"Site-24";2,5910954817846
"25";"Site-25";5,22654590857466
"26";"Site-26";5,22654590857466
"27";"Site-27";8,6440553507448
"28";"Site-28";8,6440553507448
"29";"Site-29";4,52769189801721
"30";"Site-30";4,52769189801721
"31";"Site-31";4,52769189801721
"32";"Site-32";4,52769189801721
"33";"Site-33";4,52769189801721
"34";"Site-34";7,9719992777553
"35";"Site-35";7,9719992777553
"36";"Site-36";11,965258960998
"37";"Site-37";11,965258960998
"38";"Site-38";11,965258960998
"39";"Site-39";11,965258960998
"40";"Site-40";11,965258960998
