siteID;2024/7/31;2024/8/1;2024/8/2;2024/8/3;2024/8/4;2024/8/5;2024/8/6;2024/8/7;2024/8/8;2024/8/9;2024/8/10;2024/8/11;2024/8/12;2024/8/13;2024/8/14;2024/8/15;2024/8/16;2024/8/17;2024/8/18;2024/8/19;2024/8/20;2024/8/21;2024/8/22
Site-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Site-02;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;2;2;2;2
Site-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Site-04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Site-05;0;0;0;0;1;1;1;1;4;4;5;5;5;6;0;0;0;0;0;0;0;0;1
Site-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Site-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Site-08;0;0;0;2;3;3;3;4;4;5;6;9;9;9;0;1;2;3;4;4;4;5;5
Site-09;0;0;0;2;3;4;3;4;7;7;6;6;6;6;0;1;2;5;5;6;9;12;13
Site-10;0;1;1;3;3;3;4;4;4;4;4;4;4;5;0;0;0;0;2;2;2;2;2
Site-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Site-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Site-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Site-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Site-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Site-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Site-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Site-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Site-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Site-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Site-21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Site-22;0;19;26;37;48;50;53;54;57;59;60;67;70;78;0;12;13;26;33;44;44;54;58
Site-23;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0
Site-24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Site-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Site-26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Site-27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Site-28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Site-29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Site-30;0;8;8;8;8;8;10;10;10;13;13;13;13;13;0;0;0;0;0;0;0;0;0
Site-31;0;0;4;4;4;11;11;13;17;17;18;20;20;21;0;2;4;4;4;4;4;6;6
Site-32;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0
Site-33;0;0;3;5;7;8;7;7;8;8;8;8;8;8;0;0;0;0;0;0;0;0;0
Site-34;0;1;3;3;6;7;8;8;10;10;11;12;14;14;0;0;0;0;1;1;1;1;2
Site-35;0;0;0;0;1;2;4;4;4;5;5;5;5;5;0;0;0;0;0;0;0;0;0
Site-36;0;1;5;9;11;18;24;28;28;34;34;37;39;39;8;11;14;16;18;22;24;25;27
Site-37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Site-38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
Site-39;0;0;0;0;0;0;3;5;5;5;5;6;6;8;0;0;1;1;3;3;6;6;7
Site-40;0;0;1;1;3;4;6;6;6;6;6;6;6;7;1;4;6;6;7;7;7;7;8
