Latrine_id;2021/4/22;2021/5/1;2021/5/8;2021/6/10;2021/7/9;2021/8/31;2021/10/13;2021/11/12;2021/11/18;2021/11/22;2021/11/24;2021/12/29;2022/1/3;2022/1/26;2022/2/10;2022/2/24;2022/3/10;2022/3/24;2022/4/7;2022/4/19;2022/5/10;2022/5/20;2022/6/3;2022/6/18;2022/7/4;2022/7/18;2022/8/1
KK01;0;0;0;0;1;1;1;NA;1;1;NA;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
KK02;0;0;0;1;1;1;0;NA;0;0;NA;0;1;0;1;1;1;1;1;1;NA;0;1;0;0;0;0
KK03;0;0;0;1;1;1;1;NA;0;1;NA;0;1;0;0;0;1;0;1;0;NA;0;0;0;0;0;0
KK04;0;0;0;1;1;1;1;NA;0;0;NA;0;0;0;1;0;1;0;0;0;NA;0;0;0;1;0;0
KK05;0;0;0;0;0;1;0;NA;1;0;NA;0;0;0;1;1;0;0;1;0;NA;0;0;0;1;0;0
KK06;0;0;0;0;0;1;0;NA;0;0;NA;0;0;0;1;0;0;0;0;0;NA;0;0;0;0;0;0
KK07;0;0;0;1;0;1;1;NA;0;0;NA;0;0;0;0;0;0;0;0;0;NA;0;0;1;0;0;0
KK08;0;0;0;0;1;1;0;NA;0;0;NA;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0
KK09;0;0;0;1;1;1;1;NA;0;0;NA;0;0;0;1;1;0;0;0;0;NA;0;0;0;0;0;0
KK11;0;0;0;0;1;1;1;NA;0;1;NA;0;0;0;0;1;0;0;0;0;NA;0;0;0;1;1;1
KK12;0;0;0;0;1;1;1;NA;0;0;NA;0;0;0;1;0;0;0;0;0;NA;0;0;1;1;1;0
KK13;0;0;1;0;1;1;1;NA;1;1;NA;1;1;1;1;0;0;0;0;0;NA;0;0;0;0;0;0
KK14;0;0;0;0;1;1;0;NA;0;0;NA;0;0;0;0;0;0;0;1;1;NA;0;1;1;1;1;0
KK15;0;0;0;1;1;1;0;NA;0;0;NA;0;0;0;0;0;NA;1;1;1;NA;0;0;0;0;0;1
KK16;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;1;1;1;1;1;NA;0;0;0;0;1;0
KK43;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;NA;0;0;0;NA;0;1;1;1;1;0
KK17;0;0;1;0;1;1;0;0;1;NA;1;NA;1;0;0;1;1;0;1;0;NA;0;1;1;1;1;1
KK18;0;0;0;1;1;1;1;0;1;NA;1;NA;1;0;1;1;0;1;0;0;NA;0;0;0;1;1;1
KK20;0;1;0;1;1;1;0;1;1;NA;0;NA;1;NA;1;1;NA;1;NA;1;NA;0;0;1;1;1;1
KK24;0;1;1;1;1;1;0;1;0;NA;0;NA;0;NA;0;1;NA;1;1;1;NA;0;1;1;1;1;1
KK26;0;1;1;1;1;1;0;0;0;NA;1;NA;1;NA;1;1;NA;1;1;1;NA;0;0;1;1;1;1
KK42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;1;1;1;1;NA;0;0;0;1;1;1
KK27;0;0;1;0;1;1;1;1;0;NA;1;NA;1;0;1;0;1;1;NA;1;NA;0;0;1;1;1;1
KK28;0;1;1;0;1;1;0;0;0;NA;0;NA;0;0;1;1;0;0;NA;0;NA;0;0;1;1;1;1
KK29;0;1;1;0;1;1;1;1;0;NA;0;NA;0;1;1;1;1;1;1;0;NA;0;0;1;1;1;1
KK30;0;1;1;0;1;1;0;0;0;NA;0;NA;1;0;1;1;1;1;0;1;NA;1;0;1;1;0;1
KK31;0;1;1;0;0;1;1;1;0;NA;1;NA;1;NA;1;0;0;1;1;0;NA;1;1;1;1;1;1
KK32;0;1;1;1;1;1;1;1;0;NA;0;NA;0;NA;0;1;1;1;1;1;NA;1;1;1;1;1;1
KK33;0;0;1;1;1;1;1;0;0;NA;0;NA;1;NA;0;1;1;1;NA;1;NA;1;1;1;1;1;1
KK33bis;0;0;1;0;1;1;0;1;1;NA;1;NA;1;NA;0;0;1;1;1;1;NA;1;1;1;1;1;1
KK34;0;1;1;0;1;1;1;0;0;NA;0;NA;1;NA;0;0;1;0;NA;1;NA;0;0;1;1;1;1
KK35;0;0;1;0;0;0;0;0;0;NA;0;NA;0;NA;0;1;1;1;1;1;NA;0;1;1;1;1;1
KK36;0;0;0;1;1;1;0;1;1;NA;1;NA;1;NA;0;1;1;1;1;1;NA;1;1;1;1;1;1
KK37;0;1;1;0;1;1;1;1;0;NA;0;NA;1;NA;1;1;1;1;0;0;NA;0;0;1;1;1;0
KK38;0;1;1;0;1;0;0;0;1;NA;0;NA;0;NA;1;1;NA;1;NA;0;NA;1;1;1;1;1;1
KK39;0;0;1;0;1;1;0;0;1;NA;0;NA;0;NA;1;1;1;1;0;0;NA;1;1;1;1;1;1
KK41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;1;1;1;1;NA;0;0;1;1;1;1
